stock_code,company,candidate_count,max_score
603418,友升股份,6,8
688727,恒坤新材,0,0
688729,屹唐股份,0,0
688757,胜科纳米,0,0
688759,必贝特,0,0
688775,影石创新,0,0
688802,沐曦股份,0,0
