auto_id,gold_id,stock_code,event_type,investor_name,name_match,field_status
920100_20220809_增资_002,GOLD-920100-2022-08-09-001,920100,增资,深圳市稳正景明创业投资企业(有限合伙),normalized_exact,"{""amount_subscribed"": ""gold_not_disclosed"", ""price_per_share"": ""auto_missing"", ""shares_subscribed"": ""gold_not_disclosed""}"
920100_20220809_增资_003,GOLD-920100-2022-08-09-002,920100,增资,深圳市稳正长泽创业投资企业(有限合伙),normalized_exact,"{""amount_subscribed"": ""gold_not_disclosed"", ""price_per_share"": ""auto_missing"", ""shares_subscribed"": ""gold_not_disclosed""}"
