field,total,normalized,missing,invalid,normalized_rate
subscription_date,645,431,214,0,0.668217
amount_subscribed,645,334,311,0,0.517829
shares_subscribed,645,8,637,0,0.012403
price_per_share,645,0,645,0,0.0
