equity_signal,investor_signal,restructuring_signal,summary_table_signal,vie_signal,date_density,long_list_log,document_id,stock_code,company_short_name,board,historical_role
2.025923,6.732384,0.2200863189829529,0.0,0.005643238948280844,21.47252419820861,3.9889840465642745,S501,001286,陕西能源,Main,DEV
1.453942,8.382293,0.6827207179187639,0.02528595251550977,0.037928928773264654,20.380477727500878,3.871201010907891,S508,001400,江顺科技,Main,DEV
2.182638,8.174192,0.36377292438123826,0.08559362926617373,0.010699203658271716,17.64298683249006,4.23410650459726,S509,301358,湖南裕能,ChiNext,DEV
1.098886,8.107996,0.2177971991280192,0.0,0.03959949075054895,17.48317516636736,3.8066624897703196,S511,301536,星宸科技,ChiNext,DEV
1.072981,6.41553,0.21236073606466496,0.011176880845508682,0.04470752338203473,13.702855916593645,3.912023005428146,S512,301603,乔锋智能,ChiNext,DEV
0.997149,7.36031,0.3295661388538197,0.0,0.033801655267058424,19.621860882527418,3.7612001156935624,S516,301662,宏工科技,ChiNext,DEV
1.826428,8.361451,0.5173120045945753,0.0,0.031672163546606645,10.504600909624537,4.189654742026425,S502,603307,扬州金泉,Main,DEV
1.929988,6.627788,0.16457260494495796,0.02992229180817417,0.0,11.834266410132885,3.784189633918261,S504,603312,西典新能,Main,DEV
0.325642,5.836513,0.36321644443665135,0.0,0.025049409961148364,11.547777992089395,4.02535169073515,S519,920002,万达轴承,BSE,DEV
0.299485,4.815721,0.11979405006912117,0.0,0.0,9.703318055598814,4.02535169073515,S520,920008,成电光信,BSE,DEV
0.807405,5.037243,0.3133213387497755,0.0,0.0,11.086755063453596,3.8066624897703196,S524,920066,科拜尔,BSE,DEV
0.167855,5.623137,0.23979262733587994,0.0,0.0,11.989631366793997,3.828641396489095,S517,920363,莱赛激光,BSE,DEV
