feature,min,q25,median,q75,max,mean,std,iqr_outlier_count
heading_density,8.962779,9.552935,9.935367,10.179864,18.389403,10.262696040000002,1.7472179470242055,3
numbered_heading_density,7.509174515638058,94.05052239049876,109.6484919961455,124.72814620053883,166.94464673040633,107.68155058348877,31.373434906359297,1
equity_heading_density,0.0,0.0,0.0,0.0,0.2431791815733121,0.02187270780001984,0.06166245696845234,3
html_table_density,0.0,0.0,0.0,0.0,5.99522804071103,0.3886069438579202,1.2514920522854067,3
markdown_table_density,0.0,0.0,0.0,0.0,2.846626890181712,0.21157784445369482,0.6667634586369267,3
table_line_ratio,0.0,0.0,0.0,0.0,0.006432,0.0006694,0.001853602157961627,3
mermaid_density,0.0,0.0,0.0,0.0,0.1859605506148857,0.01769239167340223,0.04973239886939656,3
equity_signal,0.824759,2.070904,2.454374,2.82336,4.0302,2.45429192,0.6515419141586468,2
investor_signal,10.52964,18.219019,21.099075,26.179987,48.451006,23.361134039999996,7.830004977848458,1
restructuring_signal,0.12757583586092958,0.3207238548743423,0.5578816518446572,0.783042433069448,15.565345080763583,1.2183022088346056,2.956901061282211,2
summary_table_signal,0.0,0.0,0.0,0.02023926863378865,0.15386745857118675,0.02164831960600442,0.042181887628171065,3
vie_signal,0.0,0.07229769298061699,0.12118886274351387,0.15582796592561812,1.3938104096194361,0.17677686931740041,0.2699848736503241,2
long_list_log,2.1972245773362196,2.302585092994046,2.302585092994046,2.5649493574615367,4.219507705176107,2.5681140977481953,0.6026106740044361,3
narrative_ratio,0.881063,0.999888,0.999959,0.999967,0.999977,0.99418756,0.023335845590987263,4
date_density,23.760999429098135,28.878270551122657,31.821254440593133,35.094645873088986,53.532857991927614,32.731721412469554,6.571612422661113,1
