document_id,stock_code,company_short_name,board,historical_role,cluster,pc1,pc2
W10S001,001282,三联锻造,Main,historical_dev,0,4.408013813519681,0.3575391411104524
W10S002,301563,云汉芯城,ChiNext,historical_dev,0,6.889679207392642,3.5139028014450746
W10S003,301581,黄山谷捷,ChiNext,historical_dev,1,-0.6535110683453703,1.0594620978328253
W10S004,603418,友升股份,Main,historical_dev,0,9.591783645337976,-2.9306842552167334
W10S005,688411,海博思创,STAR,exploratory,1,-0.8716178681872112,-0.5190794941332966
W10S006,688545,兴福电子,STAR,exploratory,1,-1.0804281117386054,0.056369576962135945
W10S007,688583,思看科技,STAR,exploratory,1,-0.8048617956898131,-0.7723482223495193
W10S008,688727,恒坤新材,STAR,exploratory,1,-0.9696666170694652,0.4750705625899521
W10S009,688729,屹唐股份,STAR,exploratory,1,-0.5321232575994325,2.218586501899107
W10S010,688755,汉邦科技,STAR,exploratory,1,-1.1613116255701155,-0.513011965956754
W10S011,688757,胜科纳米,STAR,exploratory,1,-1.0073470235062691,0.9154804604409138
W10S012,688758,赛分科技,STAR,historical_dev,1,-1.1302378859135473,-0.19899803982772582
W10S013,688759,必贝特,STAR,exploratory,1,-0.45162414680200297,0.8305967002893265
W10S014,688765,禾元生物,STAR,exploratory,1,-0.981385473262871,0.5572137425811812
W10S015,688775,影石创新,STAR,historical_dev,1,-0.8225133284687223,-1.19916595859116
W10S016,688783,西安奕材,STAR,exploratory,1,-0.897498549141064,-0.9932102685660098
W10S017,688790,昂瑞微,STAR,exploratory,1,-0.878541194155188,0.515520882844374
W10S018,688795,摩尔线程,STAR,historical_blind_failure,1,-1.310744801141056,-0.6590482263298117
W10S019,688796,百奥赛图,STAR,exploratory,1,-1.0262203069081441,-0.13334935444901455
W10S020,688802,沐曦股份,STAR,historical_blind_failure,1,-1.1718471081814927,1.1446798221563972
W10S021,688805,健信超导,STAR,exploratory,1,-1.0158938580578132,-0.7781039689580781
W10S022,688807,优迅股份,STAR,exploratory,1,-0.9833016274672851,-0.15514802809312242
W10S023,688809,强一股份,STAR,exploratory,1,-1.0715499895052174,-0.41818587266036183
W10S024,920100,三协电机,BSE,historical_dev,1,-1.2388773548650156,-0.5524881048657861
W10S025,920116,星图测控,BSE,historical_dev,1,-0.8283736746745954,-1.821600530154368
