run_at,company,page,calls,tokens_estimate,cost_usd
2026-08-07T20:06:37,001282,MD p485,1,,
2026-08-07T20:06:38,001282,MD p484,1,,
2026-08-07T20:06:40,001282,MD p485,1,,
2026-08-07T20:06:41,001282,MD p485,1,,
2026-08-07T20:06:42,001282,MD p485,1,,
2026-08-07T20:06:45,301563,MD p59,1,,
2026-08-07T20:06:47,301563,MD p59,1,,
2026-08-07T20:06:48,301563,MD p55,1,,
2026-08-07T20:06:50,301563,MD p55,1,,
2026-08-07T20:06:52,301563,MD p460,1,,
2026-08-07T20:06:54,301581,MD p43,1,,
2026-08-07T20:06:56,301581,MD p43,1,,
2026-08-07T20:06:58,301581,MD p43,1,,
2026-08-07T20:07:00,301581,MD p38,1,,
2026-08-07T20:07:02,301581,MD p43,1,,
2026-08-07T20:07:05,603418,MD p79,1,,
2026-08-07T20:07:07,603418,MD p79,1,,
2026-08-07T20:07:10,603418,MD p79,1,,
2026-08-07T20:07:13,603418,MD p79,1,,
2026-08-07T20:07:16,603418,MD p79,1,,
2026-08-07T20:07:16,688758,MD p57,1,,
2026-08-07T20:07:18,688775,MD p83,1,,
2026-08-07T20:07:20,688775,MD p83,1,,
2026-08-07T20:07:21,688775,MD p83,1,,
2026-08-07T20:07:23,688775,MD p83,1,,
2026-08-07T20:07:25,688775,MD p83,1,,
2026-08-07T20:07:26,920116,MD p48,1,,
2026-08-07T20:07:28,920116,MD p48,1,,
2026-08-07T20:07:30,920116,MD p48,1,,
2026-08-07T20:07:32,920116,MD p48,1,,
2026-08-07T20:07:34,920116,MD p48,1,,
