alias,canonical,evidence,status
稳正景明,深圳市稳正景明创业投资企业(有限合伙),week6/validation/located_sections_920100.json,verified_from_prospectus_definition
长泽创投,深圳市稳正长泽创业投资企业(有限合伙),week6/validation/located_sections_920100.json,verified_from_prospectus_definition
