document_id,stock_code,company_short_name,board,historical_role,semantic_cluster,semantic_best_k,semantic_silhouette,pc1,pc2,equity_signal,investor_signal,restructuring_signal,summary_table_signal,vie_signal,date_density,long_list_log
W10S001,001282,三联锻造,Main,historical_dev,0,2,0.783697,-1.958905,-3.322491,2.479954,10.52964,0.27103319207986803,0.0,0.0,35.1259016935509,4.219507705176107
W10S002,301563,云汉芯城,ChiNext,historical_dev,0,2,0.783697,-1.332307,-2.549238,3.633383,31.241373,0.5578816518446572,0.0,0.07152328869803297,29.124283157839024,4.110873864173311
W10S003,301581,黄山谷捷,ChiNext,historical_dev,0,2,0.783697,1.603539,-0.82328,4.0302,19.339163,1.9136203377249954,0.0,0.08698274262386343,28.878270551122657,2.302585092994046
W10S004,603418,友升股份,Main,historical_dev,0,2,0.783697,-2.226772,-2.351989,2.381942,18.167358,0.20185952999027038,0.040371905998054076,0.08074381199610815,30.823950229514285,4.1588830833596715
W10S005,688411,海博思创,STAR,exploratory,0,2,0.783697,-1.138178,-1.03665,1.603045,25.368584,0.6692325769967644,0.015563548302250334,0.09338128981350201,34.66002206911149,2.5649493574615367
W10S006,688545,兴福电子,STAR,exploratory,0,2,0.783697,-1.681145,-0.50958,2.625759,23.106676,0.4241610196022985,0.020198143790585647,0.12118886274351387,33.084559528979284,2.302585092994046
W10S007,688583,思看科技,STAR,exploratory,0,2,0.783697,-1.901454,0.186873,2.018674,14.88536,0.3207238548743423,0.0,0.1886610911025543,25.95976613571147,2.302585092994046
W10S008,688727,恒坤新材,STAR,exploratory,0,2,0.783697,-1.307486,-0.3198,2.85144,24.468767,0.6336533282641067,0.048742563712623595,0.14622769113787076,35.094645873088986,2.5649493574615367
W10S009,688729,屹唐股份,STAR,exploratory,0,2,0.783697,-1.943796,-0.716768,3.325635,36.734532,0.4271457207626382,0.15255204312951365,0.09153122587770818,27.123753268427524,2.302585092994046
W10S010,688755,汉邦科技,STAR,exploratory,0,2,0.783697,-0.245719,-0.870798,2.626816,18.219019,1.0603661637157158,0.0,0.07229769298061699,41.2819826919323,2.1972245773362196
W10S011,688757,胜科纳米,STAR,exploratory,0,2,0.783697,-1.554092,0.154674,2.57728,21.099075,0.6347032666061455,0.15386745857118675,0.15386745857118675,31.235094089950916,2.302585092994046
W10S012,688758,赛分科技,STAR,historical_dev,0,2,0.783697,-0.144477,0.249167,2.283353,19.952668,1.1310068735342258,0.0,0.19205777097751003,24.199279143166265,2.302585092994046
W10S013,688759,必贝特,STAR,exploratory,0,2,0.783697,-1.18699,-1.694652,2.954933,26.027699,0.6274173276474481,0.02023926863378865,0.02023926863378865,24.75262553912352,2.1972245773362196
W10S014,688765,禾元生物,STAR,exploratory,1,2,0.783697,31.040605,0.718284,2.454374,26.179987,15.565345080763583,0.0,0.14684287812041116,32.284455632473254,2.6390573296152584
W10S015,688775,影石创新,STAR,historical_dev,0,2,0.783697,-2.597667,14.373838,2.82336,17.369022,0.28590982761424333,0.035738728451780416,1.3938104096194361,42.636303042974035,2.4849066497880004
W10S016,688783,西安奕材,STAR,exploratory,0,2,0.783697,-0.360229,-1.251876,1.712763,24.534774,1.000965375495478,0.0,0.04448735002202124,41.66240329562289,2.1972245773362196
W10S017,688790,昂瑞微,STAR,exploratory,0,2,0.783697,-1.38509,-1.120014,2.901126,28.646087,0.527477521342552,0.0,0.08115038789885416,32.09497841399682,2.3978952727983707
W10S018,688795,摩尔线程,STAR,historical_blind_failure,0,2,0.783697,-1.456391,0.452022,2.070904,32.927367,0.5177258993416598,0.0,0.18638132376299751,53.532857991927614,2.1972245773362196
W10S019,688796,百奥赛图,STAR,exploratory,0,2,0.783697,0.421862,-0.227134,2.321052,26.535266,1.3800847497498598,0.0,0.14114503122441746,36.57224586837128,2.302585092994046
W10S020,688802,沐曦股份,STAR,historical_blind_failure,0,2,0.783697,-2.18325,-0.582525,1.90568,48.451006,0.2157373182413094,0.05393432956032735,0.12584676897409713,31.821254440593133,2.302585092994046
W10S021,688805,健信超导,STAR,exploratory,0,2,0.783697,-2.486625,4.726037,2.232577,15.46857,0.12757583586092958,0.0,0.5740912613741831,23.760999429098135,2.1972245773362196
W10S022,688807,优迅股份,STAR,exploratory,0,2,0.783697,-1.841591,-0.157809,2.701018,18.283815,0.33762725950550593,0.0,0.15582796592561812,29.970912113027218,2.302585092994046
W10S023,688809,强一股份,STAR,exploratory,0,2,0.783697,-1.127297,-0.018426,2.137969,18.617143,0.6726193478955422,0.0,0.16815483697388556,28.225990492045074,2.302585092994046
W10S024,920100,三协电机,BSE,historical_dev,0,2,0.783697,-0.829897,-1.856897,1.879302,20.071988,0.783042433069448,0.0,0.026101414435648267,30.1732350876094,2.5649493574615367
W10S025,920116,星图测控,BSE,historical_dev,0,2,0.783697,-2.176649,-1.450967,0.824759,17.803412,0.1706397283415525,0.0,0.05687990944718416,34.21326553248127,2.4849066497880004
