stock_code,company_name,markdown_snippets,candidates,missing_date,missing_date_rate,missing_amount,missing_amount_rate,missing_shares,missing_shares_rate,missing_price,missing_price_rate,obvious_non_investor,obvious_non_investor_rate,establishment,capital_increase,share_transfer,overall_conversion,merger,capital_reserve
001282,三联锻造,45,151,71,0.470199,64,0.423841,151,1.000000,151,1.000000,31,0.205298,64,87,0,0,0,0
301563,云汉芯城,50,55,30,0.545455,9,0.163636,55,1.000000,55,1.000000,6,0.109091,9,38,0,8,0,0
301581,黄山谷捷,42,84,33,0.392857,19,0.226190,84,1.000000,84,1.000000,12,0.142857,19,49,0,8,8,0
603418,友升股份,35,57,33,0.578947,16,0.280702,57,1.000000,57,1.000000,3,0.052632,16,25,16,0,0,0
688758,赛分科技,45,78,2,0.025641,76,0.974359,78,1.000000,78,1.000000,21,0.269231,76,0,2,0,0,0
688775,影石创新,49,34,18,0.529412,16,0.470588,34,1.000000,34,1.000000,4,0.117647,16,10,8,0,0,0
920100,三协电机,27,106,11,0.103774,55,0.518868,98,0.924528,106,1.000000,25,0.235849,55,43,0,0,0,8
920116,星图测控,32,80,16,0.200000,56,0.700000,80,1.000000,80,1.000000,18,0.225000,56,24,0,0,0,0
TOTAL,合计,325,645,214,0.331783,311,0.482171,637,0.987597,645,1.000000,120,0.186047,311,276,26,16,8,8
