股票代码,公司,事件序号,日期,事件类型,PDF页码,evidence摘要,是否有截图
688775,影石创新,4,2017-01,增资,42,开曼岚锋持续引入新投资人，香港迅雷（Xunlei Network Technologies Limited）和厦门富凯通,是
688775,影石创新,5,2018-01,增资,42,开曼岚锋持续引入新投资人。伊敦传媒(苏宁)、华金同达、中证投资、金石智娱通过开曼岚锋持有公司权益。容诚验字[2020]5,是
688775,影石创新,6,2020-02-26,其他,44,"截至2019年10月31日，深圳岚锋账面净资产52,728.05万元。全体股东以其拥有的净资产52,728.05万元出资",是
688775,影石创新,7,2023-03-24,股权转让,53,"2023年1月28日和2023年2月17日，影石创新分别召开董事会和股东大会，同意德朴投资以1,462.7126万元的对",是
920100,三协电机,1,2002-11-07,设立,30,"公司全称: 常州三协电机股份有限公司。证券代码: 920100。注册资本: 5,310.93万元。法定代表人: 盛祎。成",是
920100,三协电机,2,2022-08-09,增资,31,2022年6月24日，公司召开第二届董事会第四次会议审议通过了《关于<常州三协电机股份有限公司股票定向发行说明书>的议案,是
920100,三协电机,3,2023-09-06,增资,32,2023年5月26日，公司召开第二届董事会第十三次会议审议通过了《关于<常州三协电机股份有限公司股票定向发行说明书>的议,是
920116,星图测控,1,2016-12-14,设立,48,"2016年12月，四方股份、罗永红、王金林共同出资设立星图测控有限，其中，四方股份出资1,200万元（对应持有星图测控有",是
920116,星图测控,2,2017-10-25,股权转让,48,2017年10月9日，星图测控有限的股东会作出决议，同意：罗永红将其持有的星图测控有限20%股权转让予牛威；王金林将其持,是
920116,星图测控,3,2024-06-30,其他,47,"截至本招股说明书签署日，公司总股本为82,500,000股。本次发行前股本结构：中科星图38,250,000股(46.3",是
